照護團隊名稱／諮詢電話,醫事機構名稱,醫事機構電話,醫事機構地址,居家醫療醫療,重度居家醫療,安寧居家療護,居家呼吸照護,居家中醫醫療,居家藥事照護,在宅急症照護,近三個月有收案
07-5817121#3426,,,,,,,,,,,
07-5886757,,,,,,,,,,,
阮綜合社區居家醫療群,,,,,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,康福居家護理所,07--5507946,高雄市左營區博愛二路３６６號１８樓之１（地圖),,1,,1,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
義大醫院居家醫療整合照護團隊,,,,,,,,,,,
975106472,,,,,,,,,,,
岡山居家醫療照護整合,善逸居家護理所,07-3535242,高雄市楠梓區土庫路２９６巷１號（地圖),,1,,,,,1,1
07-6258989,,,,,,,,,,,
07-6261515,,,,,,,,,,,
義大醫院居家醫療整合照護團隊,,,,,,,,,,,
975106472,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,,,,,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
高雄長庚居家照護團隊醫療,,,,,,,,,,,
07-7317123#2825,,,,,,,,,,,
07-7317123#3682,,,,,,,,,,,
978839819,,,,,,,,,,,
高聯醫,,,,,,,,,,,
07-5552565#2162,,,,,,,,,,,
975687365,,,,,,,,,,,
07-5552565#2162,,,,,,,,,,,
國軍左營醫院,,,,,,,,,,,
07-5817121#3426,,,,,,,,,,,
07-5886757,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,緣滿居家護理所,07-3555986,高雄市楠梓區安民街２４０號１樓（地圖),,1,1,,,,,1
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
義大醫院居家醫療整合照護團隊,,,,,,,,,,,
975106472,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
鳳山居家醫療照護團隊,,,,,,,,,,,
07-7418151#3316,,,,,,,,,,,
07-7418151#3355,,,,,,,,,,,
岡山居家醫療照護整合,,,,,,,,,,,
07-6258989,,,,,,,,,,,
07-6261515,,,,,,,,,,,
國軍左營醫院,堉恩居家護理所,07-3602237,高雄市楠梓區德民路６５６號（地圖),,1,,,,,,
07-5817121#3426,,,,,,,,,,,
07-5886757,,,,,,,,,,,
義大醫院居家醫療整合照護團隊,,,,,,,,,,,
975106472,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,,,,,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,健仁醫院附設居家護理所,07-3517166,高雄市楠梓區楠陽路１３６號４樓（地圖),,1,,,,,,1
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,右昌聯合醫院附設居家護理所,07--3643388,高雄市楠梓區軍校路９３０號２樓（地圖),,1,,,,,,1
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
高醫社區照護中心,台灣受恩居家護理所,07-3108883,高雄市三民區明誠一路２０號４樓（地圖),,1,1,,,,1,1
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
國高總,,,,,,,,,,,
07-7495468,,,,,,,,,,,
906728166,,,,,,,,,,,
高聯醫,,,,,,,,,,,
07-5552565#2162,,,,,,,,,,,
975687365,,,,,,,,,,,
07-5552565#2162,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,,,,,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
屏東龍泉居家醫療照護整合團隊,,,,,,,,,,,
08-7704115#765,,,,,,,,,,,
08-7704115#760,,,,,,,,,,,
高雄長庚居家照護團隊醫療,,,,,,,,,,,
07-7317123#2825,,,,,,,,,,,
07-7317123#3682,,,,,,,,,,,
978839819,,,,,,,,,,,
高醫社區照護中心,健暘居家護理所,07-3980238,高雄市三民區民族一路８０號３３樓之４（地圖),,1,,,,,,1
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
阮綜合社區居家醫療群,,,,,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
高雄民生醫院,,,,,,,,,,,
07-7511131#2243,,,,,,,,,,,
963001083,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,,,,,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
高醫社區照護中心,橞安居家護理所,07-3852690,高雄市三民區光裕路７８號（地圖),,1,1,,,,,1
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
國高總,,,,,,,,,,,
07-7495468,,,,,,,,,,,
906728166,,,,,,,,,,,
阮綜合社區居家醫療群,,,,,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
義大醫院居家醫療整合照護團隊,,,,,,,,,,,
975106472,,,,,,,,,,,
高醫社區照護中心,祐生醫院附設居家護理所,07-2866688,高雄市三民區建國三路６０號１樓（地圖),,1,,1,,,,1
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
高雄長庚居家照護團隊醫療,,,,,,,,,,,
07-7317123#2825,,,,,,,,,,,
07-7317123#3682,,,,,,,,,,,
978839819,,,,,,,,,,,
屏東基督教醫院,,,,,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
義大醫院居家醫療整合照護團隊,,,,,,,,,,,
975106472,,,,,,,,,,,
高醫社區照護中心,富涵居家護理所,07-3802282,高雄市三民區灣復街４２號１樓（地圖),,1,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,敬安居家護理所,07-2368159,高雄市三民區建國二路２號１１樓之４（地圖),,1,1,,,,1,1
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
鳳山居家醫療照護團隊,,,,,,,,,,,
07-7418151#3316,,,,,,,,,,,
07-7418151#3355,,,,,,,,,,,
阮綜合社區居家醫療群,,,,,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
國高總,,,,,,,,,,,
07-7495468,,,,,,,,,,,
906728166,,,,,,,,,,,
義大醫院居家醫療整合照護團隊,,,,,,,,,,,
975106472,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
高聯醫,,,,,,,,,,,
07-5552565#2162,,,,,,,,,,,
975687365,,,,,,,,,,,
07-5552565#2162,,,,,,,,,,,
義大醫院居家醫療整合照護團隊,佑平居家護理所,07-3215418,高雄市三民區自忠街６１號（地圖),,1,1,,,,1,1
975106472,,,,,,,,,,,
國高總,,,,,,,,,,,
07-7495468,,,,,,,,,,,
906728166,,,,,,,,,,,
高雄民生醫院,,,,,,,,,,,
07-7511131#2243,,,,,,,,,,,
963001083,,,,,,,,,,,
高聯醫,,,,,,,,,,,
07-5552565#2162,,,,,,,,,,,
975687365,,,,,,,,,,,
07-5552565#2162,,,,,,,,,,,
阮綜合社區居家醫療群,,,,,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
小港居家照護中心,,,,,,,,,,,
07-8036783#3131,,,,,,,,,,,
975357402,,,,,,,,,,,
07-8036783#3025,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,宜橙居家護理所,07-3737339,高雄市三民區華德街３９號４樓（地圖),,1,,,,,1,1
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
小港居家照護中心,佳禾居家護理所,07-2361508,高雄市新興區中正三路１６０號３樓之２（地圖),,1,,1,,,,
07-8036783#3131,,,,,,,,,,,
975357402,,,,,,,,,,,
07-8036783#3025,,,,,,,,,,,
高雄長庚居家照護團隊醫療,,,,,,,,,,,
07-7317123#2825,,,,,,,,,,,
07-7317123#3682,,,,,,,,,,,
978839819,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
國高總,,,,,,,,,,,
07-7495468,,,,,,,,,,,
906728166,,,,,,,,,,,
小港居家照護中心,傳莕居家護理所,07-2415501,高雄市前金區瑞源路１９號１樓（地圖),,1,,,,,1,1
07-8036783#3131,,,,,,,,,,,
975357402,,,,,,,,,,,
07-8036783#3025,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
高聯醫,貝康居家護理所,07-5668878,高雄市苓雅區自強三路３號２８樓之８A（地圖),,1,,1,,,,
07-5552565#2162,,,,,,,,,,,
975687365,,,,,,,,,,,
07-5552565#2162,,,,,,,,,,,
岡山居家醫療照護整合,,,,,,,,,,,
07-6258989,,,,,,,,,,,
07-6261515,,,,,,,,,,,
國高總,,,,,,,,,,,
07-7495468,,,,,,,,,,,
906728166,,,,,,,,,,,
高雄民生醫院,,,,,,,,,,,
07-7511131#2243,,,,,,,,,,,
963001083,,,,,,,,,,,
聖功,爵嘉居家護理所,07-3386408,高雄市苓雅區四維四路２１６號５樓之３（地圖),,1,1,,,,1,1
07-2238153#2290,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
小港居家照護中心,,,,,,,,,,,
07-8036783#3131,,,,,,,,,,,
975357402,,,,,,,,,,,
07-8036783#3025,,,,,,,,,,,
阮綜合社區居家醫療群,,,,,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
義大醫院居家醫療整合照護團隊,慈愛居家護理所,07-2230707,高雄市苓雅區光華一路２０６號６樓之５（地圖),,1,,,,,,1
975106472,,,,,,,,,,,
阮綜合社區居家醫療群,,,,,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
小港居家照護中心,,,,,,,,,,,
07-8036783#3131,,,,,,,,,,,
975357402,,,,,,,,,,,
07-8036783#3025,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,,,,,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
阮綜合社區居家醫療群,彼得潘居家護理所,07-7260325,高雄市苓雅區凱旋二路１２４號１樓（地圖),,1,,,,,1,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
高雄民生醫院,,,,,,,,,,,
07-7511131#2243,,,,,,,,,,,
963001083,,,,,,,,,,,
高醫社區照護中心,青園居家護理所,07-3350998,高雄市前鎮區一心二路１５７號１２樓１２０８間（地圖),,1,,,,,1,1
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
小港居家照護中心,,,,,,,,,,,
07-8036783#3131,,,,,,,,,,,
975357402,,,,,,,,,,,
07-8036783#3025,,,,,,,,,,,
義大醫院居家醫療整合照護團隊,,,,,,,,,,,
975106472,,,,,,,,,,,
鳳山居家醫療照護團隊,,,,,,,,,,,
07-7418151#3316,,,,,,,,,,,
07-7418151#3355,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,,,,,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
阮綜合社區居家醫療群,,,,,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
高醫社區照護中心,達欣居家護理所,07-3385885,高雄市前鎮區一心二路１１９號９樓之３（地圖),,1,,,,,1,1
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
小港居家照護中心,,,,,,,,,,,
07-8036783#3131,,,,,,,,,,,
975357402,,,,,,,,,,,
07-8036783#3025,,,,,,,,,,,
高聯醫,祥全居家護理所,07-3340393#51,高雄市前鎮區復興三路３９３號４－５樓（地圖),,1,1,,,,1,1
07-5552565#2162,,,,,,,,,,,
975687365,,,,,,,,,,,
07-5552565#2162,,,,,,,,,,,
國軍左營醫院,,,,,,,,,,,
07-5817121#3426,,,,,,,,,,,
07-5886757,,,,,,,,,,,
義大醫院居家醫療整合照護團隊,,,,,,,,,,,
975106472,,,,,,,,,,,
高雄長庚居家照護團隊醫療,,,,,,,,,,,
07-7317123#2825,,,,,,,,,,,
07-7317123#3682,,,,,,,,,,,
978839819,,,,,,,,,,,
阮綜合社區居家醫療群,,,,,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
國高總,,,,,,,,,,,
07-7495468,,,,,,,,,,,
906728166,,,,,,,,,,,
小港居家照護中心,,,,,,,,,,,
07-8036783#3131,,,,,,,,,,,
975357402,,,,,,,,,,,
07-8036783#3025,,,,,,,,,,,
聖功,,,,,,,,,,,
07-2238153#2290,,,,,,,,,,,
小港居家照護中心,日寧居家護理所,07-8313638,高雄市前鎮區瑞田街１０巷２２號１樓（地圖),,1,,1,,,,1
07-8036783#3131,,,,,,,,,,,
975357402,,,,,,,,,,,
07-8036783#3025,,,,,,,,,,,
高聯醫,,,,,,,,,,,
07-5552565#2162,,,,,,,,,,,
975687365,,,,,,,,,,,
07-5552565#2162,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,,,,,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
高雄民生醫院,,,,,,,,,,,
07-7511131#2243,,,,,,,,,,,
963001083,,,,,,,,,,,
聖功,,,,,,,,,,,
07-2238153#2290,,,,,,,,,,,
阮綜合社區居家醫療群,,,,,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
國高總,,,,,,,,,,,
07-7495468,,,,,,,,,,,
906728166,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
國軍左營醫院,,,,,,,,,,,
07-5817121#3426,,,,,,,,,,,
07-5886757,,,,,,,,,,,
屏東龍泉居家醫療照護整合團隊,,,,,,,,,,,
08-7704115#765,,,,,,,,,,,
08-7704115#760,,,,,,,,,,,
高醫社區照護中心,鼎宬居家護理所,098-5054731,高雄市前鎮區中華五路９６９巷１１號１樓（地圖),,1,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
阮綜合社區居家醫療群,,,,,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
小港居家照護中心,高雄市立旗津醫院(委託財團法人私立高雄醫學大學經營)附設居家護,07-5711188,高雄市旗津區旗港路３３號３樓（地圖),,1,1,,,,1,1
07-8036783#3131,,,,,,,,,,,
975357402,,,,,,,,,,,
07-8036783#3025,,,,,,,,,,,
阮綜合社區居家醫療群,高雄市私立宜居居家護理所,07-9623175,高雄市小港區漢民路３４９號２樓（地圖),,1,1,,,,1,1
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
小港居家照護中心,,,,,,,,,,,
07-8036783#3131,,,,,,,,,,,
975357402,,,,,,,,,,,
07-8036783#3025,,,,,,,,,,,
高聯醫,,,,,,,,,,,
07-5552565#2162,,,,,,,,,,,
975687365,,,,,,,,,,,
07-5552565#2162,,,,,,,,,,,
義大醫院居家醫療整合照護團隊,,,,,,,,,,,
975106472,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,,,,,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
青年公園居家醫療照護團隊,基隆常春藤居家護理所,02-24620568,基隆市中正區新豐街２３３號２樓（地圖),,1,,,,,,
(02)2973-8188,,,,,,,,,,,
(02)2309-2807,,,,,,,,,,,
青年公園居家醫療照護團隊,百安居家護理所,02-24515085,基隆市七堵區百六街１２３號（地圖),,1,1,1,,,,1
(02)2973-8188,,,,,,,,,,,
(02)2309-2807,,,,,,,,,,,
合力居家醫療整合,,,,,,,,,,,
(02)7709-1222,,,,,,,,,,,
958203902,,,,,,,,,,,
正大居家醫療照護團隊,安和居家護理所,02-24555278,基隆市七堵區南興路１２號３樓（地圖),,1,,,,,,1
(02)2456-9275,,,,,,,,,,,
三軍總醫院居家醫療團隊,,,,,,,,,,,
(02)87923311#88171,,,,,,,,,,,
青年公園居家醫療照護團隊,安馨居家護理機構,02-24255900,基隆市仁愛區仁一路１３３號１２樓之３（地圖),,1,,,,,,
(02)2973-8188,,,,,,,,,,,
(02)2309-2807,,,,,,,,,,,
安康喜樂居家醫療照護團隊,沅沅居家護理所,09-10510062,基隆市仁愛區光二路１８號３樓（地圖),,1,,,,,,
02-29633312,,,,,,,,,,,
02-29633312,,,,,,,,,,,
(02)2922-8000,,,,,,,,,,,
安康喜樂居家醫療照護團隊,美綠居家護理所,02-24251665,基隆市中山區中山一路１２１號５樓（地圖),,1,1,,,,1,1
02-29633312,,,,,,,,,,,
02-29633312,,,,,,,,,,,
(02)2922-8000,,,,,,,,,,,
紫薇居家醫療團隊,,,,,,,,,,,
24251665,,,,,,,,,,,
三軍總醫院居家醫療團隊,,,,,,,,,,,
(02)87923311#88171,,,,,,,,,,,
為恭居家醫療照護整合團隊,新迦居家護理所,03-5626966,新竹市東區東園里忠孝路４４０號３樓之２（地圖),,1,1,1,,,,1
037676811#83221,,,,,,,,,,,
036768111#88890,,,,,,,,,,,
馨愛,,,,,,,,,,,
932143725,,,,,,,,,,,
03-5943248#1132,,,,,,,,,,,
03-5943248#1158,,,,,,,,,,,
馨友,,,,,,,,,,,
932143725,,,,,,,,,,,
03-5943248#1132,,,,,,,,,,,
03-5943248#1158,,,,,,,,,,,
聖保祿醫院,,,,,,,,,,,
03-3773329,,,,,,,,,,,
國泰新竹,,,,,,,,,,,
03-5278999#5136,,,,,,,,,,,
983702698,,,,,,,,,,,
大千,,,,,,,,,,,
037-357125#6320,,,,,,,,,,,
臺大心築,,,,,,,,,,,
03-5326151#4010,,,,,,,,,,,
晨心照護,,,,,,,,,,,
35233066,,,,,,,,,,,
為恭居家醫療照護整合團隊,人愛居家護理所,03-5428040,新竹市北區台溪里中華路三段９號１１樓之４（地圖),,1,1,1,,,,
037676811#83221,,,,,,,,,,,
036768111#88890,,,,,,,,,,,
馨愛,和松居家護理所,03-5247350,新竹市北區磐石里和平路８６巷１１號１樓（地圖),,1,,1,,,,
932143725,,,,,,,,,,,
03-5943248#1132,,,,,,,,,,,
03-5943248#1158,,,,,,,,,,,
馨友,,,,,,,,,,,
932143725,,,,,,,,,,,
03-5943248#1132,,,,,,,,,,,
03-5943248#1158,,,,,,,,,,,
晨心照護,大新居家護理所,03-5322077,新竹市北區士林二街１２號１樓（地圖),,1,,,,,,1
35233066,,,,,,,,,,,
馨友,共好居家護理所,03-5456198,新竹市北區文雅里中正路３２１號１樓（地圖),,1,1,,,,,1
932143725,,,,,,,,,,,
03-5943248#1132,,,,,,,,,,,
03-5943248#1158,,,,,,,,,,,
台北榮民總醫院新竹分院團隊,,,,,,,,,,,
03-5962134#564,,,,,,,,,,,
03-5962134#445,,,,,,,,,,,
馨友,新境居家護理所,03-5403757,新竹市香山區牛埔南路１４２巷３３弄４９號３樓（地圖),,1,,,,,,
932143725,,,,,,,,,,,
03-5943248#1132,,,,,,,,,,,
03-5943248#1158,,,,,,,,,,,
馨愛,,,,,,,,,,,
932143725,,,,,,,,,,,
03-5943248#1132,,,,,,,,,,,
03-5943248#1158,,,,,,,,,,,
國泰新竹,,,,,,,,,,,
03-5278999#5136,,,,,,,,,,,
983702698,,,,,,,,,,,
心苗栗,,,,,,,,,,,
04-25345885,,,,,,,,,,,
臺安醫院雙十分院居家醫療照護團隊,春暉居家護理所,04-22378557,臺中市北屯區北屯里太原路三段１６１號３F之６（地圖),,1,,,,,1,1
0422268990#2210,,,,,,,,,,,
健康,,,,,,,,,,,
(04)2235-1685,,,,,,,,,,,
中國醫藥大學附設醫院,,,,,,,,,,,
0422052121#12656,,,,,,,,,,,
自家安老居家整合照護團隊,,,,,,,,,,,
04-24360305,,,,,,,,,,,
仕安居家醫療團隊,,,,,,,,,,,
家康,,,,,,,,,,,
(04)22250505,,,,,,,,,,,
963620885,,,,,,,,,,,
慈心,華濟居家護理所,04-22396806,臺中市北屯區軍福１８路４６號（地圖),,1,,,,,,
04-22910337,,,,,,,,,,,
馨豐,育德居家護理所,04-22386231,臺中市北屯區北平路四段１９５號（地圖),,1,1,,,,1,1
0983-806059,,,,,,,,,,,
0932-143725,,,,,,,,,,,
臺安醫院雙十分院居家醫療照護團隊,,,,,,,,,,,
0422268990#2210,,,,,,,,,,,
中國醫藥大學附設醫院,,,,,,,,,,,
0422052121#12656,,,,,,,,,,,
澄清綜合醫院中港分院,,,,,,,,,,,
24632000#32646,,,,,,,,,,,
24632000#32648,,,,,,,,,,,
澄清綜合醫院,,,,,,,,,,,
24632000#66326,,,,,,,,,,,
晏居,,,,,,,,,,,
0422294411#6222,,,,,,,,,,,
自家安老居家整合照護團隊,,,,,,,,,,,
04-24360305,,,,,,,,,,,
天主教聖馬爾定醫院居家醫療整合照護團隊,喜樂康居家護理所,05-2752338,嘉義市東區忠孝路５７７號（地圖),,1,1,1,,,1,1
05-2756005-1831,,,,,,,,,,,
05-2756005-1832,,,,,,,,,,,
嘉基居家醫療照護整合計畫團隊,,,,,,,,,,,
05-2765041-7008,,,,,,,,,,,
大林慈濟居家醫療照護整合計畫團隊,,,,,,,,,,,
05-2648000-5175,,,,,,,,,,,
衛生福利部朴子醫院,,,,,,,,,,,
05-3790600-718,,,,,,,,,,,
中國北港居家醫療整合團隊,,,,,,,,,,,
05-7823831,,,,,,,,,,,
全方位居家醫療服務,,,,,,,,,,,
05-2319090-8173,,,,,,,,,,,
彰基雲林居家醫療照護團隊,,,,,,,,,,,
05-5871111-2076,,,,,,,,,,,
05-5871111-2077,,,,,,,,,,,
05-5871111-2075,,,,,,,,,,,
嘉義長庚紀念醫院居家醫療團隊,,,,,,,,,,,
05-3621000-2718,,,,,,,,,,,
嘉德居家醫療照護團隊,,,,,,,,,,,
05-2258279#197,,,,,,,,,,,
中榮嘉義分院,,,,,,,,,,,
05-2359630-3560,,,,,,,,,,,
05-2359630-2068,,,,,,,,,,,
陽明居家醫療整合照護團隊,陽明醫院附設居家護理所,05-2252000,嘉義市東區吳鳳北路２５２號（地圖),,1,,,,,1,1
05-2252000#3363,,,,,,,,,,,
嘉義長庚紀念醫院居家醫療團隊,慈恩居家護理所,05-2160869,嘉義市東區世賢路四段４６０號（地圖),,1,1,1,,,1,
05-3621000-2718,,,,,,,,,,,
天主教聖馬爾定醫院居家醫療整合照護團隊,,,,,,,,,,,
05-2756005-1831,,,,,,,,,,,
05-2756005-1832,,,,,,,,,,,
大林慈濟居家醫療照護整合計畫團隊,,,,,,,,,,,
05-2648000-5175,,,,,,,,,,,
中國北港居家醫療整合團隊,,,,,,,,,,,
05-7823831,,,,,,,,,,,
嘉基居家醫療照護整合計畫團隊,,,,,,,,,,,
05-2765041-7008,,,,,,,,,,,
奇美醫院居家醫療照護整合計畫團隊,,,,,,,,,,,
06-7263333#36060,,,,,,,,,,,
嘉德居家醫療照護團隊,新願居家護理所,05-2280869,嘉義市東區博東路９號（地圖),,1,1,1,,,1,1
05-2258279#197,,,,,,,,,,,
大林慈濟居家醫療照護整合計畫團隊,,,,,,,,,,,
05-2648000-5175,,,,,,,,,,,
嘉基居家醫療照護整合計畫團隊,,,,,,,,,,,
05-2765041-7008,,,,,,,,,,,
天主教聖馬爾定醫院居家醫療整合照護團隊,,,,,,,,,,,
05-2756005-1831,,,,,,,,,,,
05-2756005-1832,,,,,,,,,,,
嘉德居家醫療照護團隊,仁德居家護理所,05-2258279,嘉義市林森西路２８５號（地圖),,1,1,1,,,1,1
05-2258279#197,,,,,,,,,,,
嘉基居家醫療照護整合計畫團隊,,,,,,,,,,,
05-2765041-7008,,,,,,,,,,,
嘉基居家醫療照護整合計畫團隊,嘉康居家護理所,05-2811885,嘉義市西區友愛路２３７號４樓之１（地圖),,1,1,1,,,,
05-2765041-7008,,,,,,,,,,,
天主教聖馬爾定醫院居家醫療整合照護團隊,,,,,,,,,,,
05-2756005-1831,,,,,,,,,,,
05-2756005-1832,,,,,,,,,,,
大林慈濟居家醫療照護整合計畫團隊,,,,,,,,,,,
05-2648000-5175,,,,,,,,,,,
青年公園居家醫療照護團隊,健綸居家護理所,02-26868460,新北市板橋區金門街３７２巷１４號１樓（地圖),,1,,,,,1,1
(02)2973-8188,,,,,,,,,,,
(02)2309-2807,,,,,,,,,,,
臺北榮民總醫院居家醫療照護團隊,,,,,,,,,,,
28757458,,,,,,,,,,,
28757460,,,,,,,,,,,
亞東居醫團隊,,,,,,,,,,,
02-77281911,,,,,,,,,,,
安康喜樂居家醫療照護團隊,私立新生活居家護理所,02-82537070,新北市板橋區長江路１段１４６巷８號２樓（地圖),,1,,,,,,1
02-29633312,,,,,,,,,,,
02-29633312,,,,,,,,,,,
(02)2922-8000,,,,,,,,,,,
亞東居醫團隊,,,,,,,,,,,
02-77281911,,,,,,,,,,,
青年公園居家醫療照護團隊,,,,,,,,,,,
(02)2973-8188,,,,,,,,,,,
(02)2309-2807,,,,,,,,,,,
青年公園居家醫療照護團隊,聯順居家護理所,02-89642333,新北市板橋區玉光里９鄰永豐街７５巷１７之１號２樓（地圖),,1,1,,,,1,1
(02)2973-8188,,,,,,,,,,,
(02)2309-2807,,,,,,,,,,,
好鄰居,,,,,,,,,,,
29944001,,,,,,,,,,,
29944001*13,,,,,,,,,,,
新北市立土城醫院居家照護團隊,,,,,,,,,,,
森星林照護團隊,,,,,,,,,,,
亞東居醫團隊,,,,,,,,,,,
02-77281911,,,,,,,,,,,
馨安居家醫療照護團隊,,,,,,,,,,,
932143725,,,,,,,,,,,
馨安居家醫療照護團隊,蕭中正醫院附設居家護理所,02-29688939,新北市板橋區南雅南路一段１巷７號１樓（地圖),,1,1,1,,,1,1
932143725,,,,,,,,,,,
新北市立土城醫院居家照護團隊,,,,,,,,,,,
三軍總醫院居家醫療團隊,,,,,,,,,,,
(02)87923311#88171,,,,,,,,,,,
亞東居醫團隊,祥蕙居家護理所,02-29580958,新北市板橋區廣和街１１０號（地圖),,1,,,,,,
02-77281911,,,,,,,,,,,
安康喜樂居家醫療照護團隊,安康喜樂居家護理所,02-29633312,新北市板橋區漢生東路１１３巷２６號１樓（地圖),,1,,,,,,1
02-29633312,,,,,,,,,,,
02-29633312,,,,,,,,,,,
(02)2922-8000,,,,,,,,,,,
青年公園居家醫療照護團隊,旺福居家護理所,02-89856891,新北市三重區福隆路４８號１樓（地圖),,1,1,,,,1,1
(02)2973-8188,,,,,,,,,,,
(02)2309-2807,,,,,,,,,,,
三軍總醫院居家醫療團隊,,,,,,,,,,,
(02)87923311#88171,,,,,,,,,,,
森星林照護團隊,,,,,,,,,,,
安康喜樂居家醫療照護團隊,,,,,,,,,,,
02-29633312,,,,,,,,,,,
02-29633312,,,,,,,,,,,
(02)2922-8000,,,,,,,,,,,
亞東居醫團隊,,,,,,,,,,,
02-77281911,,,,,,,,,,,
馨安居家醫療照護團隊,,,,,,,,,,,
932143725,,,,,,,,,,,
仁和居家醫療照護團隊,,,,,,,,,,,
(02)2892-8769,,,,,,,,,,,
(02)2891-7453,,,,,,,,,,,
仁和居家醫療照護團隊,萬眾居家護理所,02-28577722,新北市三重區福德南路４１號７樓（地圖),,1,1,1,,,,1
(02)2892-8769,,,,,,,,,,,
(02)2891-7453,,,,,,,,,,,
好鄰居,,,,,,,,,,,
29944001,,,,,,,,,,,
29944001*13,,,,,,,,,,,
衛生福利部臺北醫院居家整合醫療照護團隊,,,,,,,,,,,
02-22761136#5201~5205,,,,,,,,,,,
909932122,,,,,,,,,,,
